season,ranker,team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,made_playoffs
2002,28,Memphis Grizzlies,82,19780,38,87,0.43600000000000005,4.5,14.6,0.307,33.5,72.4,0.462,17.8,25.1,0.708,13.1,32.1,45.2,23.8,8.6,6.5,17.9,20.9,98.2,FALSE
2002,29,Chicago Bulls,82,19805,37.6,86.9,0.43300000000000005,4,11.6,0.346,33.6,75.3,0.447,18.9,26.2,0.722,12.4,31.6,43.9,24.3,8.5,4.8,16.8,24.5,98.2,FALSE
2003,1,Dallas Mavericks,82,19780,41.4,91.5,0.453,8.3,21.9,0.381,33.1,69.7,0.47500000000000003,19.5,23.5,0.8290000000000001,12,33.4,45.3,24.1,8.7,5.9,12.4,22.7,110.7,TRUE
2003,2,Milwaukee Bucks,82,19905,40.6,89,0.457,7.8,20.4,0.383,32.8,68.6,0.47800000000000004,19.8,25.5,0.776,11.7,31.6,43.3,24.3,8.3,4.6,13.9,24.3,108.8,TRUE
2003,3,Golden State Warriors,82,19755,39.5,89.5,0.441,5.5,15.9,0.344,34,73.6,0.462,23.9,30.7,0.778,16.6,32.8,49.4,22.1,7.7,6.5,16.7,23,108.3,FALSE
2003,4,Los Angeles Lakers,82,19930,40.3,89.3,0.451,6.3,17.8,0.356,33.9,71.5,0.47500000000000003,20.3,27.7,0.734,14,33.3,47.3,24.9,8.3,6.1,15.5,24.4,107.2,TRUE
2003,5,Minnesota Timberwolves,82,19805,41.8,89.7,0.466,3.9,10.6,0.368,37.9,79.2,0.47900000000000004,18.5,24.1,0.77,12.6,34.5,47.1,27.3,7.3,5.7,14.8,22.5,106.1,TRUE
2003,6,Sacramento Kings,82,19830,41.1,88.7,0.464,6.2,16.3,0.381,34.9,72.4,0.48200000000000004,17.3,23.2,0.746,11.4,34.9,46.3,25.8,9.3,5.8,15.1,21.1,105.9,TRUE
2003,7,San Antonio Spurs,82,19830,39.1,84.7,0.462,6,17.1,0.354,33.1,67.6,0.48900000000000005,21.4,29.5,0.725,12.6,34.4,47,22,8.5,7.1,17.4,22.5,105.6,TRUE
2003,8,Utah Jazz,82,19780,39.3,84.1,0.468,3,8.7,0.349,36.3,75.4,0.48100000000000004,23.8,31.9,0.745,13.9,32.4,46.2,28.6,9.6,6.3,18.7,25,105.5,TRUE
2003,9,Portland Trail Blazers,82,19855,40.4,87.8,0.46,5.1,15.5,0.32999999999999996,35.3,72.2,0.48800000000000004,19.6,26.3,0.745,13.4,32.2,45.6,25.1,9.8,4.3,16.9,22.1,105.5,TRUE
2003,10,Orlando Magic,82,19805,38.4,88,0.43600000000000005,7.4,20.7,0.357,31,67.3,0.46,21,27.1,0.777,12.5,31.1,43.6,21.8,9.1,3.9,15.3,24.6,105.2,TRUE
2003,11,Philadelphia 76ers,82,19855,39.3,87.8,0.448,3.2,10.4,0.311,36.1,77.4,0.466,23.1,29.8,0.775,13.8,31.9,45.7,23.4,11.2,3.8,16,23.8,105,TRUE
2003,12,New York Knicks,82,19855,39.5,89.6,0.441,8.1,21.1,0.383,31.5,68.5,0.459,17.6,21.6,0.8150000000000001,11.2,31.7,42.9,24,7.7,3.4,15.3,25.2,104.7,FALSE
